사업자등록번호,사업장명,소재지전체주소,영업상태명,폐업일자,처분일자,위반내용,처분내용상세,처분종류명
0001000000,"갈비탕280번지코너","서울특별시 서초구 방배동 새창로 132-1",영업중,,,,,
0001000001,"즐거운 해장국","서울특별시 동대문구 장안동 방화대로 147-5",영업중,,,,,
0001000002,"떡볶이전문점","서울특별시 금천구 가산동 선유로 194-15",폐업,2022-02-28,,,,
0001000003,"떡볶이명가","서울특별시 양천구 신월동 서초대로 102-8 3층",폐업,2024-04-13,2019-02-09,"위생관리기준 위반","조리사 면허 미취득 조리",시정명령
0001000004,"짬뽕72번지집","서울특별시 강서구 마곡동 수유로 149-7",영업중,,,,,
0001000005,"원조 보쌈","서울특별시 강동구 길동 강남대로 55-1 1층",영업중,,,,,
0001000006,"강남 스테이크","서울특별시 노원구 하계동 화곡로 4-4",폐업,2021-10-28,2025-03-23,"시설기준 위반","원산지 미표시",경고
0001000007,"황금보쌈본점","서울특별시 강북구 미아동 성내로 123-8",영업중,,,,,
0001000008,"김씨낙지볶음세상","서울특별시 서대문구 남가좌동 경인로 106-15",영업중,,,,,
0001000009,"이씨비빔밥나라","서울특별시 동작구 신대방동 공항대로 196-19 2층",영업중,,,,,
0001000010,"떡볶이645번지마당","서울특별시 종로구 청운동 한강대로 21-14 2층",영업중,,,,,
0001000011,"진짜회세상","서울특별시 동작구 흑석동 시청앞로 37-13",폐업,2023-05-14,,,,
0001000012,"신씨파스타전문점","서울특별시 구로구 고척동 우이천로 132-12",영업중,,,,,
0001000013,"할머니 순두부찌개","서울특별시 동작구 대방동 아리수로 165-9 3층",영업중,,,,,
0001000014,"강남 피자","서울특별시 노원구 월계동 남대문로 109-6",영업중,,2021-07-16,"원산지 표시 위반","식품접촉 기구 위생 불량",과태료
0001000014,"강남 피자","서울특별시 노원구 월계동 남대문로 109-6",영업중,,2024-04-26,"시설기준 위반","종업원 건강진단 미실시",과태료
0001000014,"강남 피자","서울특별시 노원구 월계동 남대문로 109-6",영업중,,2020-07-06,"시설기준 위반","유통기한 경과 식품 보관",과태료
0001000015,"아버지의 부대찌개","서울특별시 양천구 신월동 신월로 107-18",영업중,,,,,
0001000016,"강씨고등어구이본점","서울특별시 은평구 구산동 경의로 116-19",영업중,,,,,
0001000017,"즐거운 한식","서울특별시 강북구 수유동 우이천로 41-10",영업중,,2020-02-21,"영업자 준수사항 위반","조리사 면허 미취득 조리",과태료
0001000018,"닭갈비집","서울특별시 노원구 월계동 인수봉로 144-13",영업중,,2019-09-14,"영업자 준수사항 위반","식품 보관기준 위반",과태료
0001000018,"닭갈비집","서울특별시 노원구 월계동 인수봉로 144-13",영업중,,2018-07-14,"시설기준 위반","식품접촉 기구 위생 불량",과태료
0001000018,"닭갈비집","서울특별시 노원구 월계동 인수봉로 144-13",영업중,,2026-03-13,"영업자 준수사항 위반","유통기한 경과 식품 보관",시정명령
0001000019,"청담회세상","서울특별시 서대문구 홍은동 경인로 188-7",영업중,,2019-06-27,"원산지 표시 위반","조리장 청결 불량",시정명령
0001000019,"청담회세상","서울특별시 서대문구 홍은동 경인로 188-7",영업중,,2020-08-17,"시설기준 위반","원산지 허위표시",경고
0001000020,"황금낙지볶음왕국","서울특별시 은평구 녹번동 화곡로 90-8",영업중,,2021-08-16,"영업자 준수사항 위반","종업원 건강진단 미실시",시정명령
0001000021,"국밥289번지왕국","서울특별시 동대문구 전농동 양재천로 187-7",영업중,,,,,
0001000022,"조씨오삼불고기마당","서울특별시 구로구 구로동 성내로 19-18 2층",영업중,,,,,
0001000023,"순대838번지전문점","서울특별시 은평구 응암동 선유로 78-8",영업중,,,,,
0001000024,"오씨보쌈본점","서울특별시 성동구 금호동 삼양로 113-17 5층",영업중,,2022-10-04,"원산지 표시 위반","음식물 쓰레기 처리 위반",경고
0001000025,"삼겹살922번지명가","서울특별시 마포구 성산동 남대문로 162-1",영업중,,,,,
0001000026,"원조 국밥","서울특별시 도봉구 도봉동 길동로 168-5",영업중,,2021-02-09,"시설기준 위반","종업원 건강진단 미실시",과태료
0001000027,"맛있는제육볶음가","서울특별시 성북구 석관동 천호대로 165-19",영업중,,,,,
0001000028,"갈치조림126번지마당","서울특별시 서대문구 북가좌동 양재천로 190-20",영업중,,,,,
0001000029,"신씨아구찜식당","서울특별시 동대문구 장안동 삼양로 7-16",영업중,,,,,
0001000030,"황태해장국521번지세상","서울특별시 은평구 갈현동 아리수로 62-16 5층",영업중,,2021-02-12,"유통기한 경과 제품 사용","위생모 미착용",영업정지15일
0001000031,"황금 탕수육","서울특별시 양천구 신정동 보라매로 108-14 1층",영업중,,,,,
0001000032,"박씨김치찌개나라","서울특별시 중구 청구동 마포대로 35-10",영업중,,,,,
0001000033,"맛있는 순대","서울특별시 강동구 성내동 봉천로 180-3",영업중,,,,,
0001000034,"아버지의 김치찌개","서울특별시 송파구 마천동 테헤란로 53-20",영업중,,,,,
0001000035,"조씨떡볶이식당","서울특별시 서초구 잠원동 양천로 117-20",영업중,,,,,
0001000036,"낙지볶음왕국","서울특별시 서대문구 창천동 길동로 46-19",영업중,,,,,
0001000037,"홍대 우동","서울특별시 서초구 방배동 신림로 53-12",영업중,,,,,
